image_path,caption
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_5301_cn_coin_27133_p_rev.jpg,Nude Zeus standing facing& head left& holding patera in outstretched right hand and long sceptre in left hand.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_14341_cn_coin_2764_p_rev.jpg,Nude Zeus standing left& head right& cloak over left shoulder& holding patera in outstretched right hand& sceptre in left hand; at his feet& left& eagle standing left& head right& wings half spread.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3581_BNF_41767037_cn_coin_22441_o_rev.jpg,Zeus (Aëtophoros) enthroned left& wearing long garment& holding eagle& right& in outstretched right hand and sceptre in left hand.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3581_MK_18262469_cn_coin_15553_o_rev.jpg,Zeus (Aëtophoros) enthroned left& wearing long garment& holding eagle& right& in outstretched right hand and sceptre in left hand.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1497_MK_18243613_cn_coin_3891_o_rev.jpg,Nude Zeus (Epikarpios) standing facing& head left& holding patera in outstretched right hand and ears of corn in left hand.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_14336_MK_18244665_cn_coin_5001_o_rev.jpg,Zeus enthroned right& resting left arm on sceptre& holding patera in outstretched left hand. Ground line. Border of dots.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4784_MK_18246358_cn_coin_5857_o_rev.jpg,Zeus enthroned left& naked to waist& holding patera in right hand& left resting on sceptre. Ground line. Border of dots.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4785_cn_coin_39124_o_rev.jpg,Zeus standing facing& head left& naked to waist& holding thunderbolt in lowered right hand& left resting on long sceptre. Ground line.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4785_MK_18246359_cn_coin_5858_o_rev.jpg,Zeus standing facing& head left& naked to waist& holding thunderbolt in lowered right hand& left resting on long sceptre. Ground line.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7836_cn_coin_30691_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7856_cn_coin_31021_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_119_BNF_Platzhalter_cn_coin_11946_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_119_cn_coin_7826_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_119_MK_18247977_cn_coin_10384_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1497_MK_18243613_cn_coin_3891_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_163_MK_18248877_cn_coin_10504_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_19496_cn_coin_42110_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_19498_cn_coin_42114_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_19498_cn_coin_42115_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_194_cn_coin_7949_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_194_MK_18248931_cn_coin_10541_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_921_MK_18235357_cn_coin_6406_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10181_BNF_Platzhalter_cn_coin_12662_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10181_MK_18249998_cn_coin_6841_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10181_MK_18249999_cn_coin_6842_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10182_MK_18249979_cn_coin_6827_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10182_MK_18249981_cn_coin_6828_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10182_MK_18249982_cn_coin_6829_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10184_BNF_Platzhalter_cn_coin_12659_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10184_MK_18249974_cn_coin_6824_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10186_MK_18249972_cn_coin_6823_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10187_MK_18249994_cn_coin_6837_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10188_BNF_Platzhalter_cn_coin_12658_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10188_MK_18249971_cn_coin_6822_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10189_MK_18249977_cn_coin_6826_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1018_BNF_Platzhalter_cn_coin_11942_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_BNF_863_cn_coin_2069_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2053_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2058_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2060_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2063_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2065_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2066_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2067_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2069_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2070_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2071_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2072_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2073_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2075_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2076_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2077_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2078_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2080_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2081_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2082_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_cn_coin_2084_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_MK_18239200_cn_coin_2053_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1087_MK_18239201_cn_coin_4697_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_BNF_41768138_cn_coin_23541_o_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_BNF_41768139_cn_coin_23542_o_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_23541_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_23542_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40592_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40593_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40594_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40595_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40596_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40597_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40598_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_cn_coin_40599_p_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_MK_18253140_cn_coin_19051_o_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_MK_18253143_cn_coin_19052_o_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_MK_18253145_cn_coin_19053_o_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_12787_MK_18253147_cn_coin_19054_o_obv.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1278_MK_18248975_cn_coin_10561_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1578_cn_coin_2403_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1578_cn_coin_2408_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4126_cn_coin_7688_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
